variant_id,run_name,split,config_id,method,neurosymbolic_enabled,decision_mode,symbolic_profile,threshold,tau_high,accuracy,balanced_accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,fp,tn,fn,support,positives_true,positives_pred,positive_rate_true,positive_rate_pred,auroc,auprc,average_precision,brier_score,log_loss,accepted_count,rejected_count,accept_rate,reject_rate,symbolic_valid_count,symbolic_invalid_count,symbolic_uncertain_count,invalid_block_count,invalid_block_positive_labels,invalid_block_negative_labels,delta_precision,delta_recall,delta_f1,delta_fp,delta_fn,fp_reduction,fp_reduction_rate,recall_loss,recall_loss_rate
pairwise_50_medium_unseen100,neural_logreg,valid,neural_only|thr=0.95,neural_only,False,neural_threshold,none,0.95,,0.8708571428571429,0.568,0.75,0.144,0.24161073825503357,0.992,0.008,0.856,72,24,2976,428,3500,500,96,0.14285714285714285,0.027428571428571427,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,96,3404,0.027428571428571427,0.9725714285714285,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,test,neural_only|thr=0.95,neural_only,False,neural_threshold,none,0.95,,0.8786666666666667,0.533625,0.33088235294117646,0.09,0.14150943396226415,0.97725,0.02275,0.91,45,91,3909,455,4500,500,136,0.1111111111111111,0.030222222222222223,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,136,4364,0.030222222222222223,0.9697777777777777,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,valid,neural_only|thr=0.97,neural_only,False,neural_threshold,none,0.97,,0.8645714285714285,0.5343333333333333,0.782608695652174,0.072,0.13186813186813187,0.9966666666666667,0.0033333333333333335,0.928,36,10,2990,464,3500,500,46,0.14285714285714285,0.013142857142857144,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,46,3454,0.013142857142857144,0.9868571428571429,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,test,neural_only|thr=0.97,neural_only,False,neural_threshold,none,0.97,,0.8831111111111111,0.520375,0.3375,0.054,0.09310344827586207,0.98675,0.01325,0.946,27,53,3947,473,4500,500,80,0.1111111111111111,0.017777777777777778,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,80,4420,0.017777777777777778,0.9822222222222222,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=conservative|thr=0.50,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.5,,0.8385714285714285,0.7875,0.45838668373879643,0.716,0.5589383294301327,0.859,0.141,0.284,358,423,2577,142,3500,500,781,0.14285714285714285,0.22314285714285714,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,781,2719,0.22314285714285714,0.7768571428571428,856.0,1418.0,1226.0,347.0,68.0,279.0,0.0807271092707113,-0.136,0.03559680608860927,-279.0,68.0,279.0,0.3974358974358974,0.136,0.15962441314553993
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=conservative|thr=0.50,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.5,,0.8162222222222222,0.754,0.33666333666333664,0.674,0.44903397734843437,0.834,0.166,0.326,337,664,3336,163,4500,500,1001,0.1111111111111111,0.22244444444444444,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,1001,3499,0.22244444444444444,0.7775555555555556,973.0,1922.0,1605.0,588.0,73.0,515.0,0.07863942225175702,-0.1459999999999999,0.05650166523737643,-515.0,73.0,515.0,0.4368108566581849,0.1459999999999999,0.1780487804878048
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=moderate|thr=0.50,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.5,,0.8494285714285714,0.6821666666666667,0.47157894736842104,0.448,0.4594871794871795,0.9163333333333333,0.08366666666666667,0.552,224,251,2749,276,3500,500,475,0.14285714285714285,0.1357142857142857,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,475,3025,0.1357142857142857,0.8642857142857143,493.0,2345.0,662.0,653.0,202.0,451.0,0.09391937290033592,-0.40399999999999997,-0.06385434385434391,-451.0,202.0,451.0,0.6424501424501424,0.40399999999999997,0.4741784037558685
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=moderate|thr=0.50,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.5,,0.8433333333333334,0.65725,0.33547351524879615,0.418,0.3722172751558326,0.8965,0.1035,0.582,209,414,3586,291,4500,500,623,0.1111111111111111,0.13844444444444445,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,623,3877,0.13844444444444445,0.8615555555555555,566.0,3095.0,839.0,966.0,201.0,765.0,0.07744960083721653,-0.40199999999999997,-0.020315036955225352,-765.0,201.0,765.0,0.648854961832061,0.40199999999999997,0.4902439024390244
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=conservative|thr=0.60,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.6,,0.862,0.7761666666666667,0.513302034428795,0.656,0.5759438103599649,0.8963333333333333,0.10366666666666667,0.344,328,311,2689,172,3500,500,639,0.14285714285714285,0.18257142857142858,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,639,2861,0.18257142857142858,0.8174285714285714,856.0,1418.0,1226.0,250.0,59.0,191.0,0.07798144950191083,-0.118,0.018708389193658248,-191.0,59.0,191.0,0.3804780876494024,0.118,0.15245478036175708
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=conservative|thr=0.60,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.6,,0.8375555555555556,0.7415,0.36395759717314485,0.618,0.458117123795404,0.865,0.135,0.382,309,540,3460,191,4500,500,849,0.1111111111111111,0.18866666666666668,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,849,3651,0.18866666666666668,0.8113333333333334,973.0,1922.0,1605.0,439.0,57.0,382.0,0.07979610648991503,-0.11399999999999999,0.048721150641041544,-382.0,57.0,382.0,0.41431670281995664,0.11399999999999999,0.15573770491803277
